"id","user_id","date","original_bill_number","internal_bill_number","amount","vat_code","client_details","system_details","created_at","updated_at","deleted_at"
607,1,"2018-03-11","2018-03-11-8","2018-03-11-8","-10,00",0,"Einzahlungsbeleg","2100 Privatentnahmen allgemein [EUR 10,00] <-- 1600 Kasse [EUR 10,00]","2019-10-30 19:08:02","2019-10-30 19:08:02",NULL
606,1,"2018-03-11","2018-03-11-7","2018-03-11-7","-10,00",0,"Einzahlungsbeleg","2100 Privatentnahmen allgemein [EUR 10,00] <-- 1600 Kasse [EUR 10,00]","2019-10-30 19:07:56","2019-10-30 19:07:56",NULL
605,1,"2018-03-10","2018-03-10-4","2018-03-10-4","-50,00",0,"Einzahlungsbeleg","2100 Privatentnahmen allgemein [EUR 50,00] <-- 1600 Kasse [EUR 50,00]","2019-10-30 19:07:44","2019-10-30 19:07:44",NULL
604,1,"2018-03-09","2018-03-09-4","2018-03-09-4","-10,00",0,"Einzahlungsbeleg","2100 Privatentnahmen allgemein [EUR 10,00] <-- 1600 Kasse [EUR 10,00]","2019-10-30 19:07:35","2019-10-30 19:07:35",NULL
603,1,"2018-03-08","2018-03-08-4","2018-03-08-4","-10,00",0,"Einzahlungsbeleg","2100 Privatentnahmen allgemein [EUR 10,00] <-- 1600 Kasse [EUR 10,00]","2019-10-30 19:07:24","2019-10-30 19:07:24",NULL
602,1,"2018-03-07","2018-03-07-3","2018-03-07-3","-50,00",0,"Einzahlungsbeleg","2100 Privatentnahmen allgemein [EUR 50,00] <-- 1600 Kasse [EUR 50,00]","2019-10-30 19:07:12","2019-10-30 19:07:12",NULL
601,1,"2018-03-06","2018-03-06-4","2018-03-06-4","-10,00",0,"Einzahlungsbeleg","2100 Privatentnahmen allgemein [EUR 10,00] <-- 1600 Kasse [EUR 10,00]","2019-10-30 19:07:02","2019-10-30 19:07:02",NULL
600,1,"2018-03-05","2018-03-05-4","2018-03-05-4","-10,00",0,"Einzahlungsbeleg","2100 Privatentnahmen allgemein [EUR 10,00] <-- 1600 Kasse [EUR 10,00]","2019-10-30 19:06:54","2019-10-30 19:06:54",NULL
599,1,"2018-03-03","2018-03-03-3","2018-03-03-3","-10,00",0,"Einzahlungsbeleg","2100 Privatentnahmen allgemein [EUR 10,00] <-- 1600 Kasse [EUR 10,00]","2019-10-30 19:06:45","2019-10-30 19:06:45",NULL
598,1,"2018-03-02","2018-03-02-5","2018-03-02-5","-20,00",0,"Einzahlungsbeleg","2100 Privatentnahmen allgemein [EUR 20,00] <-- 1600 Kasse [EUR 20,00]","2019-10-30 19:06:31","2019-10-30 19:06:31",NULL
597,1,"2018-03-01","2018-03-01-1","2018-03-01-1","-50,00",0,"Einzahlungsbeleg","2100 Privatentnahmen allgemein [EUR 50,00] <-- 1600 Kasse [EUR 50,00]","2019-10-30 19:06:17","2019-10-30 19:06:17",NULL
596,1,"2018-06-25","2018-06-25-3","2018-06-25-3","190,00",0,"Einzahlungsbeleg","1800 Bank [EUR 190,00] <-- 1600 Kasse [EUR 190,00]","2019-10-30 19:02:42","2019-10-30 19:02:42",NULL
595,1,"2018-06-24","2018-06-24-3","2018-06-24-3","110,00",0,"Einzahlungsbeleg","1800 Bank [EUR 110,00] <-- 1600 Kasse [EUR 110,00]","2019-10-30 19:02:27","2019-10-30 19:02:27",NULL
594,1,"2018-06-23","2018-06-23-3","2018-06-23-3","210,00",0,"Einzahlungsbeleg","1800 Bank [EUR 210,00] <-- 1600 Kasse [EUR 210,00]","2019-10-30 19:02:13","2019-10-30 19:02:13",NULL
593,1,"2018-06-22","2018-06-22-3","2018-06-22-3","100,00",0,"Einzahlungsbeleg","1800 Bank [EUR 100,00] <-- 1600 Kasse [EUR 100,00]","2019-10-30 19:02:00","2019-10-30 19:02:00",NULL
